date, pm25, pm10, o3, no2, so2, co
2021/4/4, 40, 14, 11, 3, , 1
2021/4/5, 28, 15, , , , 
2021/4/6, 30, 16, , , , 
2021/4/7, 34, 11, , , , 
2021/4/8, 25, 18, , , , 
2021/4/9, 29, 26, , , , 
2021/4/10, 51, 25, 20, 7, , 2
2021/4/11, 48, 27, 32, 12, 1, 5
2021/4/12, 59, 28, 16, 16, , 5
2021/4/13, 47, 14, 16, 3, , 1
2021/4/14, 22, 19, 16, 7, , 1
2021/4/15, 28, 19, 19, 7, , 1
2021/4/16, 36, 30, 27, 12, , 2
2021/4/17, 60, 28, 23, 11, , 2
2021/4/18, 59, 15, 26, 6, , 1
2021/4/19, 30, 10, 14, 4, , 1
2021/4/20, 16, 12, 13, 4, , 1
2021/4/21, 23, 9, 14, 3, , 1
2021/4/22, 15, 13, 12, 6, , 1
2021/4/23, 24, 13, 17, 7, , 1
2021/4/24, 25, 13, 31, 7, , 1
2021/4/25, 31, 23, 38, 10, , 3
2021/4/26, 61, 23, 24, 11, , 2
2021/4/27, 61, 16, 17, 6, , 1
2021/4/28, 34, 19, 26, 6, , 1
2021/4/29, 38, 12, 19, , , 1
2021/4/30, 26, 13, 14, , , 1
2021/5/1, 28, 23, 23, , , 1
2021/3/2, 49, 28, 31, 11, 2, 2
2021/3/3, 66, 23, 25, 11, , 2
2021/3/4, 60, 26, 24, 14, , 3
2021/3/5, 55, 17, 13, 9, , 2
2021/3/6, 28, 15, 16, 7, , 2
2021/3/7, 23, 19, 21, 6, , 1
2021/3/8, 46, 15, 29, 8, , 1
2021/3/9, 43, 16, 46, 10, , 2
2021/3/10, 43, 18, 27, 8, , 1
2021/3/11, 34, 26, 28, 17, , 5
2021/3/12, 57, 30, 42, 11, , 3
2021/3/13, 69, 25, 45, 7, , 1
2021/3/14, 63, 20, 39, 5, , 2
2021/3/15, 47, 23, 52, 10, , 3
2021/3/16, 56, 26, 41, 8, , 2
2021/3/17, 61, 24, 38, 14, , 3
2021/3/18, 56, 25, 16, 14, , 3
2021/3/19, 54, 22, 29, 10, , 2
2021/3/20, 57, 26, 34, 6, , 2
2021/3/21, 58, 28, 37, 7, , 3
2021/3/22, 65, 27, 40, 11, , 3
2021/3/23, 68, 29, 53, 9, 1, 2
2021/3/24, 65, 21, 37, 7, , 1
2021/3/25, 52, 17, 39, 7, 1, 1
2021/3/26, 43, 29, 57, 12, 1, 2
2021/3/27, 70, 28, 57, 10, 1, 2
2021/3/28, 68, 16, 38, 6, , 1
2021/3/29, 43, 30, 50, 17, , 5
2021/3/30, 68, 12, 28, 10, , 2
2021/3/31, 30, 17, 19, 5, , 1
2021/4/1, 30, 14, 14, 5, , 1
2021/2/2, 40, 26, 40, 21, , 5
2021/2/3, 65, 32, 56, 14, , 4
2021/2/4, 76, 29, 40, 14, , 3
2021/2/5, 61, 14, 18, 7, , 1
2021/2/6, 32, 18, 31, 5, , 1
2021/2/7, 40, 16, 22, 3, , 
2021/2/8, 39, 25, 19, 4, , 1
2021/2/9, 29, 20, 18, 6, , 1
2021/2/10, 32, 15, 23, 6, , 1
2021/2/11, 36, 18, 23, 11, , 3
2021/2/12, 45, 18, 21, 13, , 3
2021/2/13, 46, 14, 11, 11, , 3
2021/2/14, 35, 13, 25, 6, , 2
2021/2/15, 32, 18, 28, 9, , 2
2021/2/16, 36, 16, 29, 12, , 3
2021/2/17, 39, 20, 30, 13, , 3
2021/2/18, 54, 18, 32, 11, , 2
2021/2/19, 47, 25, 37, 10, , 2
2021/2/20, 66, 20, 33, 6, , 1
2021/2/21, 49, 16, 28, 3, 1, 1
2021/2/22, 35, 18, 27, 5, , 1
2021/2/23, 45, 31, 48, 11, 1, 2
2021/2/24, 48, 31, 49, 16, 1, 3
2021/2/25, 69, 24, 25, 13, , 2
2021/2/26, 48, , , , , 
2021/1/5, 36, 19, 29, 10, , 2
2021/1/6, 45, 18, 30, 12, , 2
2021/1/7, 44, 14, 26, 10, , 2
2021/1/8, 35, 14, 22, 8, , 2
2021/1/9, 41, 18, 22, 5, , 1
2021/1/10, 56, 19, 27, 4, , 1
2021/1/11, 47, 18, 33, 6, , 1
2021/1/12, 50, 26, 41, 9, , 2
2021/1/13, 67, 17, 23, 5, , 1
2021/1/14, 47, 16, 23, 6, , 1
2021/1/15, 42, 19, 16, 14, , 4
2021/1/16, 47, 13, 25, 8, , 2
2021/1/17, 30, 12, 20, 5, , 1
2021/1/18, 26, 14, 32, 7, , 1
2021/1/19, 33, 15, 31, 7, , 1
2021/1/20, 46, 19, 34, 7, , 1
2021/1/21, 46, 25, 34, 7, , 1
2021/1/22, 59, 22, 45, 9, 1, 2
2021/1/23, 67, 24, 32, 7, , 2
2021/1/24, 52, 42, 32, 7, , 2
2021/1/25, 63, 22, 33, 23, 1, 2
2021/1/26, 63, 23, 26, 16, , 3
2021/1/27, 53, 32, 22, 15, , 3
2021/1/28, 52, 18, 28, 13, , 3
2021/1/29, 45, 31, 29, 21, , 5
2021/1/30, 68, 32, 39, 13, , 3
2021/1/31, 73, 26, 42, 8, , 3
2021/2/1, 64, 16, 32, 12, , 2
2020/10/2, 94, 60, 61, 36, , 11
2020/10/3, 117, 38, 30, 14, , 7
2020/10/4, 79, 8, 19, 3, , 1
2020/10/5, 27, 24, 41, 12, , 4
2020/10/6, 62, 47, 43, 19, , 5
2020/10/7, 101, 40, 47, 20, , 5
2020/10/8, 78, 25, 29, 13, , 4
2020/10/9, 62, 28, 18, 21, , 5
2020/10/10, 70, 14, 28, 7, 2, 3
2020/10/11, 38, 16, 28, 4, , 1
2020/10/12, 39, 23, 42, 7, 1, 2
2020/10/13, 54, 34, 22, 19, 2, 4
2020/10/14, 78, 39, 50, 32, , 3
2020/10/15, 82, 19, 23, , , 2
2020/10/16, 47, 15, 20, 9, 2, 2
2020/10/17, 32, 14, 19, 5, , 1
2020/10/18, 31, 15, 27, 4, , 1
2020/10/19, 38, 25, 36, 11, , 2
2020/10/20, 53, 32, 36, 15, , 4
2020/10/21, 75, 31, 31, 11, , 3
2020/10/22, 72, 15, 21, 5, , 1
2020/10/23, 32, 18, 29, 7, 1, 1
2020/10/24, 38, 27, 22, 12, , 3
2020/10/25, 63, 17, 26, 7, , 3
2020/10/26, 43, 18, 27, 9, 1, 13
2020/10/27, 45, 25, 45, 13, , 9
