date, pm25, pm10, o3, no2, so2, co
2021/4/19, 31, 8, 24, 8, , 1
2021/4/20, 17, 11, 12, 6, , 1
2021/4/21, 21, 8, 11, 8, , 1
2021/4/22, 23, 14, 13, 6, , 1
2021/4/23, 29, 12, 11, 9, , 1
2021/4/24, 28, 17, 21, 11, , 1
2021/4/25, 35, 22, 37, 11, , 1
2021/4/26, 57, 28, 35, 11, , 2
2021/4/27, 63, 15, 33, 14, , 2
2021/4/28, 39, 16, 15, 10, , 1
2021/4/29, 36, 14, 24, 12, , 1
2021/4/30, 30, 13, 16, 9, , 1
2021/5/1, 27, 18, 15, 8, , 1
2021/3/7, 50, 10, 22, 8, , 1
2021/3/8, 50, 12, 27, 13, , 1
2021/3/9, 31, , 32, 15, , 1
2021/2/2, 52, 26, 35, , , 4
2021/2/3, 66, 28, 38, , , 4
2021/2/4, 72, , , , , 
2021/2/9, 51, 14, 22, , , 1
2021/2/10, 36, 13, 24, , , 1
2021/2/11, 38, 18, 21, , , 2
2021/2/12, 40, 17, 12, , , 2
2021/2/13, 46, 11, 10, , , 3
2021/2/14, 36, 12, 25, , , 2
2021/2/15, 38, 13, 26, , , 1
2021/2/16, 42, 15, 25, , , 2
2021/2/17, 49, 20, 38, , , 2
2021/2/18, 57, 17, 30, , , 2
2021/2/19, 52, 23, 40, , , 1
2021/2/20, 66, 19, 36, , , 1
2021/2/21, 55, 15, 31, , , 1
2021/2/22, 39, 15, 32, 8, , 1
2021/2/23, 40, 14, 33, 12, , 1
2021/2/24, 52, , , , , 
2021/1/5, 48, 18, 32, , , 1
2021/1/6, 50, 19, 28, , , 2
2021/1/7, 49, 12, 24, , , 1
2021/1/8, 37, 13, 24, , , 1
2021/1/9, 45, 20, 22, , , 1
2021/1/10, 48, , , , , 
2021/1/12, 56, 21, 33, , , 3
2021/1/13, 57, 16, 26, , , 1
2021/1/14, 56, 14, 22, , , 1
2021/1/15, 54, 20, 12, , , 3
2021/1/16, 50, 10, 26, , , 1
2021/1/17, 49, 8, 21, , , 1
2021/1/18, 38, 14, 32, , , 1
2021/1/19, 59, 17, 27, , , 1
2021/1/20, 46, 24, 37, , , 1
2021/1/21, 56, 24, 35, , , 1
2021/1/22, 61, 25, 48, , , 1
2021/1/23, 64, 23, 32, , , 1
2021/1/24, 54, 23, 30, , , 1
2021/1/25, 62, 20, 37, , , 1
2021/1/26, 52, 21, 23, , , 2
2021/1/27, 57, 24, 24, , , 2
2021/1/28, 56, 16, 26, , , 2
2021/1/29, 48, 28, 29, , , 4
2021/1/30, 61, 36, 40, , , 3
2021/1/31, 72, 24, 41, , , 2
2021/2/1, 61, 22, 24, , , 3
2020/10/2, 99, 61, 65, 40, , 9
2020/10/3, 113, 44, 40, 14, , 6
2020/10/4, 87, 10, 21, 3, , 1
2020/10/5, 36, 24, 46, 15, , 2
2020/10/6, 60, 53, 50, 27, , 6
2020/10/7, 106, 44, 53, 26, , 5
2020/10/8, 84, 27, 27, 17, , 3
2020/10/9, 66, 21, 13, 26, , 5
2020/10/10, 64, 12, 27, 11, , 2
2020/10/11, 43, 15, 31, 4, , 1
2020/10/12, 38, 24, 54, 8, , 1
2020/10/13, 61, 42, 46, 24, , 4
2020/10/14, 87, 44, 51, 22, , 3
2020/10/15, 88, 18, 26, 14, , 1
2020/10/16, 64, 14, 16, 12, , 1
2020/10/17, 45, 15, 20, 7, , 1
2020/10/18, 47, 17, 33, 6, , 1
2020/10/19, 51, 21, 29, 19, , 4
2020/10/20, 57, 28, 26, 28, , 7
2020/10/21, 62, 30, 35, 16, , 3
2020/10/22, 77, 12, 23, 7, , 1
2020/10/23, 45, 19, 32, 11, , 1
2020/10/24, 47, 20, 21, 14, , 2
2020/10/25, 56, 15, 26, 10, , 2
2020/10/26, 50, 18, 31, 11, , 1
2020/10/27, 50, 20, 40, 15, , 2
2020/10/28, 62, , , , , 
2020/10/30, 67, 6, 16, 11, , 1
2020/10/31, 38, 6, 19, 6, , 1
2020/11/1, 35, 9, 18, 4, , 1
2020/11/2, 41, 7, 21, 4, , 1
2020/11/3, 33, 16, 25, 10, , 1
2020/11/24, 31, 17, 29, 8, , 1
2020/11/25, 42, 27, 57, 15, , 2
2020/11/26, 53, 23, 31, 20, , 4
2020/11/27, 50, 32, 58, 20, , 3
2020/11/28, 63, 28, 52, 9, , 1
2020/11/29, 58, 22, 41, 8, , 1
2020/11/30, 50, 22, 36, 18, , 2
2020/12/1, 54, 12, 29, 17, , 2
2020/12/2, 45, 18, 35, 12, , 1
2020/12/3, 49, 22, 32, 17, , 2
2020/12/4, 39, 16, 41, 11, , 1
2020/12/5, 41, 12, 18, 5, , 1
2020/12/6, 33, 7, 17, 4, , 1
